Articulo,"Precio de Compra","Precio de Venta",Ganancias
"Aceite de Oliva",1145.00,1345.00,200.00
"Aceite Farolito",1150.00,1250.00,100.00
"Agua en botella",3800.00,4000.00,200.00
"Alimento para Gatos",30.70,35.70,5.00
"Alimento para Perros",850.00,950.00,100.00
"Atun Fresco",13000.00,14000.00,1000.00
"Cepillo de dientes OdontoFull",24000.00,25000.00,1000.00
"Crema Humectante",980.00,990.10,10.10
Facturas,3000.00,3400.50,400.50
"Gaseosa de granadina",1600.00,120.50,-1479.50
Helado,70.00,80.00,10.00
"Jabon para bebe",500.00,550.50,50.50
Lavandina,700.00,800.50,100.50
"Pan Frances",200.00,220.50,20.50
"Pizza congelada",1.00,1.50,0.50
Tortillas,110.00,120.50,10.50
"Trapo de piso",6000.00,8000.00,2000.00
"Vino Rosado",9000.00,10000.00,1000.00
Yerba,80.00,120.50,40.50
